page_rank_decimal,url_length,double_slash_redirecting,prefix_suffix,favicon,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,popupwindow,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,has_numbers,lev,sim_lev,fuzzy,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
1.85,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,1,0,0.7142857142857143,1,0,0,1,0,-1
5.62,-1,1,1,1,0,1,0,1,1,1,1,1,-1,1,1,1,1,1,0,0.7142857142857143,0,36,1,1,4,1
1.78,1,1,-1,1,1,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.4,0,53,1,-1,17,-1
2.72,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,0,1,1,1,1,0,0.5,1,0,0,1,0,1
5.13,1,1,1,1,0,1,0,1,1,1,-1,1,1,1,1,-1,-1,1,0,0.8,1,0,0,1,0,-1
3.29,0,1,-1,1,1,-1,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,1,0,0,1,0,-1
0.0,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,-1,0.1666666666666666,0,40,1,-1,19,-1
0.0,1,1,1,1,0,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0.25,0,60,1,0,9,-1
4.79,0,1,1,-1,0,1,0,1,1,1,1,1,-1,0,1,1,1,1,0,0.5,1,0,0,1,0,1
3.71,0,1,1,1,0,1,0,1,1,1,1,1,-1,0,1,-1,1,1,0,0.6666666666666666,0,20,1,1,3,1
2.96,-1,1,1,1,1,-1,1,1,-1,1,1,1,-1,0,1,1,1,1,0,0.6,0,50,1,1,3,1
2.7,0,1,-1,1,-1,1,0,1,1,1,1,1,-1,0,1,1,1,1,0,0.6,0,20,1,1,3,1
4.49,-1,1,1,1,1,1,0,1,1,1,1,1,-1,0,1,1,0,1,0,0.5,1,0,0,1,0,1
5.26,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,0.6,0,55,2,1,6,1
0.0,1,1,1,-1,0,1,1,1,1,1,1,1,1,-1,-1,1,-1,0,0,0.7142857142857143,0,46,1,1,6,-1
8.81,-1,1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,1,1.0,1,0,1,1,4,-1
1.68,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,0,0.6,1,0,0,1,0,1
1.99,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,-1,0,1,0,0.6666666666666666,0,40,1,1,5,-1
2.78,1,1,1,-1,1,0,1,1,1,1,0,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,12,-1
0.0,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,0,-1,-1,-1,1,0,0.6,1,0,0,1,0,-1
3.34,0,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,1,1,1,0,0.4,0,53,0,1,0,1
4.52,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0.5,0,44,1,1,5,1
3.08,0,1,1,1,1,1,0,1,1,1,1,1,-1,0,1,-1,-1,1,0,0.4,0,59,0,1,0,1
0.0,1,1,1,1,-1,0,-1,1,1,1,1,1,1,-1,-1,1,0,1,0,0.25,0,60,1,-1,18,-1
2.27,1,1,-1,1,1,1,0,1,1,1,1,1,-1,0,1,1,1,1,0,0.8,0,29,1,1,2,1
2.5,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,11,-1
1.37,0,1,1,1,0,1,0,-1,1,1,1,1,-1,0,1,-1,1,1,0,0.5555555555555556,0,20,1,1,3,1
2.73,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,-1,19,-1
5.15,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,0,1,0,0.5,0,20,1,1,3,1
3.36,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.6,0,36,1,0,14,1
1.77,1,1,1,-1,0,1,0,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,13,-1
0.0,1,1,1,-1,1,0,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,0.5,0,53,1,0,10,-1
0.0,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,0,0,0.6,0,32,1,-1,16,-1
1.92,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,1,0,0.5,1,0,0,1,0,-1
1.6,0,1,1,1,0,1,0,1,-1,1,1,1,-1,0,1,-1,1,1,0,0.4,0,57,1,1,3,1
4.66,1,1,-1,1,0,0,0,1,1,-1,1,1,-1,0,1,-1,1,1,0,0.8333333333333334,1,0,0,1,0,-1
5.32,-1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,1,1,1,1,1,0,0.3333333333333333,1,0,0,1,0,1
2.65,1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.4,0,53,1,-1,18,-1
0.0,1,1,-1,-1,-1,1,0,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,0.6666666666666666,0,38,1,0,11,-1
2.84,1,1,1,1,0,1,0,-1,1,1,1,1,-1,0,1,1,1,1,0,0.5,1,0,0,1,0,1
0.0,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,0.5,0,53,1,-1,19,-1
0.0,1,1,1,1,1,1,0,1,1,-1,1,1,1,-1,-1,-1,-1,1,0,0.2857142857142857,-1,75,1,0,9,-1
3.23,0,1,1,1,-1,1,-1,1,-1,1,1,1,-1,0,1,1,1,1,0,0.5,0,55,1,1,3,1
0.0,0,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.5,0,24,1,-1,36,-1
0.0,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,0.0,0,46,1,-1,20,-1
0.0,1,1,1,-1,1,0,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,0.4,0,53,1,0,13,-1
0.0,1,1,1,-1,1,0,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,0.5,0,53,1,0,10,-1
2.39,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,14,-1
1.48,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,0.6923076923076923,0,20,1,1,3,1
0.0,1,1,1,-1,0,1,0,-1,1,-1,1,1,-1,0,-1,-1,1,1,0,0.6,1,0,0,1,0,1
3.3,-1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,0.5714285714285714,0,20,1,1,3,1
2.23,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,0,1,1,-1,1,0,0.5714285714285714,0,20,1,1,3,1
0.0,1,1,1,1,0,1,0,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,0.0,0,64,0,1,0,-1
0.0,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,0.5,0,53,1,0,15,-1
0.0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,0,0.25,0,60,1,-1,21,-1
0.0,1,1,-1,1,-1,-1,0,1,1,-1,1,1,1,-1,-1,-1,1,1,0,0.6,0,44,1,0,11,-1
5.56,1,1,1,1,0,0,0,1,1,1,1,1,-1,1,1,-1,1,1,0,0.7142857142857143,1,0,0,1,0,-1
3.47,1,1,1,1,-1,0,0,-1,-1,1,1,1,-1,0,1,1,1,0,0,0.5,0,20,1,1,3,1
0.0,1,1,-1,1,1,1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,0,0.5,0,30,1,-1,16,-1
8.64,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,0,0.7142857142857143,1,0,0,1,0,-1
1.49,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,12,-1
2.97,0,1,1,1,-1,1,-1,1,1,1,1,1,-1,0,1,-1,1,1,0,0.7142857142857143,0,25,1,1,2,1
0.0,1,1,-1,-1,0,1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.25,0,24,1,0,10,-1
2.63,1,1,-1,1,0,1,0,1,1,1,1,1,-1,0,1,1,1,0,0,0.6,1,0,0,1,0,1
0.0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0.25,0,60,1,0,12,-1
3.28,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,0,0.6666666666666666,0,57,1,1,3,1
0.0,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,0,0.5,0,53,1,0,15,-1
2.85,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,0,0.6666666666666666,0,20,1,1,3,1
0.0,-1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,0,0.4,0,57,1,-1,16,-1
1.65,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.5,0,20,1,1,3,1
1.4,0,1,1,1,0,1,0,1,1,-1,1,1,-1,0,1,1,1,1,0,0.5714285714285714,1,0,0,1,0,1
1.9,1,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,0.5,0,20,1,1,3,1
0.0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,0,0.5,0,33,1,0,11,-1
4.2,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,0,1,1,0,1,0,0.5555555555555556,0,60,1,1,4,1
0.0,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,1,-1,1,0,0.5,1,0,0,1,0,-1
5.15,-1,1,-1,1,0,1,0,-1,1,1,1,1,-1,1,1,1,1,1,0,0.5,0,20,1,1,3,1
0.0,1,1,-1,1,1,1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,0,0.6,0,29,1,-1,16,-1
1.05,1,1,1,1,0,0,0,1,-1,1,1,1,-1,0,1,-1,1,1,0,0.5,0,20,1,1,3,1
2.57,-1,1,1,1,1,1,0,1,1,1,1,1,-1,0,1,-1,1,1,0,0.5,1,0,0,1,0,1
0.0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,0,0.25,0,60,1,-1,24,-1
4.17,0,1,1,1,-1,1,-1,1,-1,1,1,1,-1,0,1,-1,0,1,0,0.4444444444444444,0,55,1,1,3,1
1.49,1,1,-1,1,1,1,0,1,-1,1,1,1,-1,0,1,1,1,1,0,0.6666666666666666,0,20,1,1,3,1
7.92,-1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1,-1,-1,1,0,0.6666666666666666,1,0,0,1,0,-1
0.07,0,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,0,0.5,1,0,0,1,0,1
2.73,1,1,1,-1,1,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,0,13,-1
2.7,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,-1,1,0,0.6666666666666666,-1,75,2,0,9,1
2.92,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,-1,0,1,0,0.3333333333333333,1,0,0,1,0,1
0.0,1,1,1,-1,0,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,0,0.5,1,0,0,1,0,-1
0.6,-1,1,1,1,0,1,0,0,1,1,1,1,-1,0,1,-1,1,1,0,0.5,1,0,0,1,0,1
3.55,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0.75,0,50,1,1,5,1
0.0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,0,0.25,0,60,1,-1,21,-1
0.0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0.25,0,60,1,0,12,-1
1.18,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,1,0,0.4285714285714285,0,53,0,1,0,-1
2.24,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0.5,0,53,1,-1,19,-1
2.06,1,1,1,1,0,1,0,-1,-1,1,1,1,-1,0,1,1,1,1,0,0.6666666666666666,1,0,0,1,0,1
0.0,0,1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0,0,0.75,0,14,1,-1,36,-1
0.0,0,1,-1,1,-1,1,0,-1,-1,1,1,1,-1,0,-1,-1,1,1,0,0.5,0,42,1,0,10,1
1.81,-1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,-1,-1,1,0,0.6666666666666666,1,0,0,1,0,1
0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.7142857142857143,0,44,1,1,4,-1
3.53,0,1,1,1,0,1,0,1,-1,1,1,1,-1,0,1,-1,1,1,0,0.5,1,0,0,1,0,1
3.11,1,1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,-1,1,1,0,0.5,1,0,0,1,0,1
3.06,1,1,1,1,1,1,0,1,1,1,1,1,-1,0,1,1,1,1,0,0.5,0,20,1,1,3,1
2.4,0,1,1,1,1,0,1,1,-1,1,1,1,1,0,1,-1,1,1,0,0.6,1,0,0,1,0,1
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,0,0,0.8,1,0,0,1,0,-1
0.0,1,1,1,-1,1,0,1,1,1,1,1,1,1,-1,-1,-1,0,1,0,0.5,0,53,1,-1,18,-1
0.0,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,0,0.5,0,53,1,0,15,-1
0.0,1,1,-1,1,1,1,1,-1,1,1,1,1,1,0,-1,1,0,0,0,0.6,0,20,1,1,3,1
0.0,1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,0.25,0,60,1,0,13,-1
0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.8333333333333334,1,0,0,1,0,-1
0.0,0,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0.7142857142857143,0,19,1,-1,36,-1
0.0,1,1,-1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,0,1,0,0.5,0,53,1,0,13,-1
0.0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,-1,-1,1,1,0,0.7,1,0,0,1,0,1
7.92,1,1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,-1,-1,1,0,0.6666666666666666,1,0,0,1,0,-1
1.56,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0,1,1,1,0,0,0.5,0,20,1,1,3,1
0.0,1,1,1,1,0,1,-1,0,1,1,1,1,1,-1,-1,-1,-1,1,0,0.5714285714285714,0,44,1,1,5,-1
