page_rank_decimal,shortining_service,favicon,request_url,url_of_anchor,links_in_tags,iframe,web_traffic,page_rank,google_index,links_pointing_to_page,sim_lev,sim_fuzz,num_of_subdomains,len_sub,len_of_subdomains,result
2.03,1,1,0,0,0,1,0,1,1,1,0.5714285714285714,46,0,1,0,1
8.64,-1,1,1,-1,1,1,1,1,-1,1,0.7142857142857143,40,0,1,0,-1
0.0,1,-1,0,1,0,1,-1,-1,-1,-1,0.5,31,1,1,6,-1
5.23,1,1,-1,1,-1,-1,1,1,1,1,0.4,55,1,0,11,1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,0,15,-1
4.1,1,1,1,1,1,-1,0,1,1,1,0.5,43,1,1,3,1
5.11,1,1,0,1,0,-1,1,1,1,1,0.5714285714285714,36,1,1,3,1
0.0,1,1,0,1,0,-1,0,-1,1,0,0.5,42,0,1,0,1
4.78,1,1,-1,1,-1,1,0,1,-1,-1,0.5714285714285714,57,1,1,1,-1
2.03,1,1,-1,1,-1,1,0,1,-1,-1,0.6666666666666666,40,0,1,0,-1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.0,100,1,1,7,-1
8.81,1,-1,-1,1,0,1,1,1,-1,-1,1.0,0,1,1,4,-1
0.0,1,1,1,1,0,1,0,-1,-1,-1,0.6666666666666666,29,0,1,0,1
0.0,1,1,-1,1,0,-1,-1,-1,-1,-1,0.25,60,1,0,10,-1
3.8,1,-1,0,1,0,-1,0,1,1,1,0.5,42,0,1,0,1
0.0,1,1,1,0,1,1,-1,-1,-1,1,0.5,53,1,0,12,-1
0.0,1,1,-1,1,0,-1,-1,-1,-1,-1,0.25,60,1,0,11,-1
2.73,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,14,-1
4.82,1,1,1,1,1,1,0,1,1,0,0.6,53,0,1,0,1
1.89,1,1,1,1,1,1,0,1,1,0,0.5,40,1,1,3,1
2.48,1,-1,1,0,1,1,0,1,-1,0,0.5,57,1,0,13,-1
1.78,1,1,1,1,1,1,0,1,-1,0,0.2,53,1,-1,19,-1
0.0,1,-1,0,1,0,1,-1,-1,-1,0,0.0,69,1,-1,17,-1
0.0,1,-1,0,1,0,1,-1,-1,-1,-1,0.25,47,1,0,11,-1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.6666666666666666,36,1,-1,19,-1
1.37,1,1,0,0,0,-1,0,1,1,1,0.4,32,0,1,0,1
2.77,1,1,0,1,0,1,0,1,1,-1,0.6,38,1,1,3,1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.8333333333333334,22,0,1,0,-1
1.4,1,1,0,1,0,-1,0,1,1,1,0.5714285714285714,50,0,1,0,1
0.0,1,1,-1,1,0,1,-1,-1,-1,1,0.4,44,1,-1,35,-1
0.0,1,1,0,1,0,1,-1,-1,-1,-1,0.6,60,1,1,3,-1
2.73,1,1,1,1,1,1,0,1,-1,0,0.5,53,1,-1,18,-1
4.82,1,1,1,1,0,-1,0,1,-1,1,0.42857142857142855,35,1,1,3,1
2.16,1,1,1,1,0,1,0,1,1,1,0.7,47,0,1,0,1
5.48,1,-1,-1,1,-1,-1,1,1,1,1,0.6,44,1,1,3,1
3.36,1,1,0,1,0,-1,0,1,-1,1,0.7142857142857143,42,0,1,0,1
3.34,1,-1,-1,1,-1,-1,0,1,-1,1,0.3333333333333333,40,1,1,3,1
2.5,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,-1,16,-1
2.77,1,1,0,1,0,-1,0,1,1,1,0.6666666666666666,46,0,1,0,1
2.47,1,-1,1,1,1,1,0,1,-1,0,0.5,53,1,0,12,-1
1.97,1,1,1,1,1,-1,0,1,-1,-1,0.6666666666666666,50,1,1,3,1
4.66,1,1,1,1,1,1,0,1,-1,-1,0.8333333333333334,22,0,1,0,-1
4.9,1,1,0,1,0,-1,0,1,-1,1,0.6666666666666666,57,0,1,0,1
2.5,1,-1,1,0,1,1,0,1,-1,0,0.5,53,1,0,13,-1
0.0,1,1,1,0,1,1,-1,-1,-1,1,0.4,50,2,-1,64,-1
2.76,1,1,0,1,0,1,0,1,1,1,0.6,44,0,1,0,1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.5,36,1,0,15,-1
0.0,1,1,1,1,1,1,-1,-1,-1,-1,0.75,40,0,1,0,-1
0.0,1,-1,1,0,1,1,-1,-1,-1,0,0.5,53,1,-1,19,-1
0.0,1,1,1,0,0,1,-1,-1,-1,1,0.5,47,1,0,10,-1
3.46,1,1,1,1,0,-1,0,1,1,0,0.4,38,0,1,0,1
2.55,1,1,1,1,1,-1,0,1,1,1,0.6,40,1,1,3,1
5.28,1,1,1,1,1,1,1,1,1,-1,0.6666666666666666,43,1,0,8,1
2.96,1,1,-1,1,0,-1,0,1,-1,1,0.5,46,1,0,14,-1
5.16,1,1,-1,1,0,-1,1,1,-1,1,0.5555555555555556,40,1,1,3,1
0.0,1,-1,-1,-1,-1,1,-1,-1,-1,0,0.5,25,1,-1,36,-1
1.56,1,-1,0,1,-1,-1,0,1,-1,0,0.5555555555555556,33,1,1,3,1
0.0,1,1,1,1,1,1,-1,-1,-1,0,0.0,58,1,-1,17,-1
0.0,1,-1,0,1,0,1,0,-1,1,-1,0.5,40,0,1,0,1
